id,titulo,url,contenido,imagen,fuente,fecha,categoriaId,categoriaNombre,categoriaColor
cmgg3w9v501w013gh3r5eehhn,Artículo de gestion.pe,https://gestion.pe//articulo-1#1759814130929-mz80z64vs,Contenido extraído usando selectores CSS personalizados...,,gestion.pe,2025-10-07T05:15:30.930Z,,Sin categoría,
cmgg3w9v401vw13ght6xxrjih,Artículo de www.infobae.com,https://www.infobae.com/peru//articulo-1#1759814130928-nnbs21fmd,Contenido extraído usando selectores CSS personalizados...,,www.infobae.com,2025-10-07T05:15:30.928Z,,Sin categoría,
cmgg3w9v301vs13ghe3jz3r96,Artículo de diariocorreo.pe,https://diariocorreo.pe//articulo-1#1759814130927-1b9eykftm,Contenido extraído usando selectores CSS personalizados...,,diariocorreo.pe,2025-10-07T05:15:30.927Z,,Sin categoría,
cmgg3w9v201vo13ghbyf5dkcm,Artículo de peru21.pe,https://peru21.pe//articulo-1#1759814130926-m68hxr7sw,Contenido extraído usando selectores CSS personalizados...,,peru21.pe,2025-10-07T05:15:30.926Z,,Sin categoría,
cmgg3w9v101vk13gh95d7il37,Artículo de larepublica.pe,https://larepublica.pe//articulo-1#1759814130925-yprfxzbvh,Contenido extraído usando selectores CSS personalizados...,,larepublica.pe,2025-10-07T05:15:30.925Z,,Sin categoría,
cmgg3w9v001vg13ghtm05dkfe,Artículo de elcomercio.pe,https://elcomercio.pe//articulo-1#1759814130923-r9hh9axmt,Contenido extraído usando selectores CSS personalizados...,,elcomercio.pe,2025-10-07T05:15:30.924Z,,Sin categoría,
cmgg3w9uy01vc13ghgdxkczvu,Artículo de www.youtube.com,https://www.youtube.com/channel/UCkZCoc42IipR1ucqJmIehsA/articulo-1#1759814130922-kbnd880n8,Contenido extraído usando selectores CSS personalizados...,,www.youtube.com,2025-10-07T05:15:30.923Z,,Sin categoría,
cmgg3w9ux01v813ghbvqknczp,Artículo de radios.com.pe,https://radios.com.pe/exitosa-lima//articulo-1#1759814130921-nef3o9zy7,Contenido extraído usando selectores CSS personalizados...,,radios.com.pe,2025-10-07T05:15:30.922Z,,Sin categoría,
cmgg3w9uw01v413ghzl6dhn4n,Artículo de streema.com,https://streema.com/radios/Radio_Noticias_Peru/articulo-1#1759814130920-xxadndrul,Contenido extraído usando selectores CSS personalizados...,,streema.com,2025-10-07T05:15:30.920Z,,Sin categoría,
cmgg3w9uv01v013ghm57bwogd,Artículo de radiouno.pe,https://radiouno.pe//articulo-1#1759814130918-894s0pkmz,Contenido extraído usando selectores CSS personalizados...,,radiouno.pe,2025-10-07T05:15:30.919Z,,Sin categoría,
cmgg3w9ut01uw13ghgnlqayn8,Artículo de canaln.pe,https://canaln.pe//articulo-1#1759814130917-gyua7u5xk,Contenido extraído usando selectores CSS personalizados...,,canaln.pe,2025-10-07T05:15:30.918Z,,Sin categoría,
cmgg3w9ur01us13ghiymdkkew,Artículo de www.exitosanoticias.pe,https://www.exitosanoticias.pe//articulo-1#1759814130915-6kuhyz4qm,Contenido extraído usando selectores CSS personalizados...,,www.exitosanoticias.pe,2025-10-07T05:15:30.916Z,,Sin categoría,
cmgg3w9uq01uo13ghiza6jyds,"Miguel Ángel Russo, entrenador de Boca Juniors, en grave estado de salud",https://rpp.pe/deportes/futbol/miguel-angel-russo-entrenador-de-boca-juniors-en-grave-estado-de-salud-noticia-123460#1759814130913-zmkd83b2l,"El entrenador de Boca Juniors, Miguel Ángel Russo, se encuentra en grave estado de salud y fue internado en un centro médico. El club emitió un comunicado informando sobre su situación.",,RPP Noticias,2025-10-07T05:15:30.914Z,cmgg1fs0f0007112gev7odmxo,Salud,#10B981
cmgg3w9uo01uk13gh8th8zznk,Corpac reconoce que hubo 'breve interrupción' en el funcionamiento del sistema de control radar,https://rpp.pe/lima/actualidad/corpac-reconoce-que-hubo-breve-interrupcion-en-el-funcionamiento-del-sistema-de-control-radar-noticia-123458#1759814130912-p1i00huvb,La Corporación Peruana de Aeropuertos y Aviación Comercial (Corpac) reconoció que hubo una breve interrupción en el funcionamiento del sistema de control radar en el aeropuerto Jorge Chávez.,,RPP Noticias,2025-10-07T05:15:30.913Z,,Sin categoría,
