id,nombre,url,selectoresCss,categoriaId,categoriaNombre,activa,limiteArticulos,fechaCreacion
cmgg30sza001ix718guq8lvaj,Canal N,https://canaln.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:51:02.710Z
cmgg3c1ys00jex718q6zhlloj,Diario Correo,https://diariocorreo.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:59:47.572Z
cmgg34rpp0043x718xfm6n608,El Comercio,https://elcomercio.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:54:07.694Z
cmgg2tk4d000px718n3cqlfaf,Exitosa Noticias,https://www.exitosanoticias.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:45:24.637Z
cmgg3f8ps016ox718pwxsc1c5,Gestión,https://gestion.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T05:02:16.288Z
cmgg3djhp014rx71893d1luzp,Infobae Perú,https://www.infobae.com/peru/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T05:00:56.941Z
cmgg36je7009wx718k557tphl,La República,https://larepublica.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:55:30.224Z
cmgg3b05100hpx718ztdancpv,Perú21,https://peru21.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:58:58.549Z
cmgg1x5cl00l98u89h61pw2mp,RPP Noticias,https://rpp.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:20:12.501Z
cmgg326cl002px7183x3yqpmx,Radio Exitosa,https://radios.com.pe/exitosa-lima/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:52:06.694Z
cmgg19k3s006b8u89w2pxjcgo,Radio Nacional del Perú,https://www.radionacional.gob.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:01:51.881Z
cmgg31pcz001kx718x8h6v9b8,Radio Noticias Perú,https://streema.com/radios/Radio_Noticias_Peru,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:51:44.675Z
cmgg31b1p001jx718g4nr06ee,Radio Uno Perú,https://radiouno.pe/,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:51:26.125Z
cmgg33bhf002qx718neys4orb,TV Perú Noticias,https://www.youtube.com/channel/UCkZCoc42IipR1ucqJmIehsA,"""{\""titulo\"":\""h1, h2, h3, .title, .article-title\"",\""contenido\"":\""p, .content, .article-body, .text\"",\""imagen\"":\""img, .image, .thumbnail\"",\""enlaces\"":\""a, .link, .read-more\""}""",,Sin categoría,true,50,2025-10-07T04:53:00.003Z
